ObjectID,origin_id,destination_id,OriginID,DestinationID,DestinationRank,total_cost
1666,GH_A167F1,NT_A189B2,2,129,105,8742.850055346727500
1667,GH_A167F1,NT_A193F1,2,139,106,8857.263722012843600
1668,GH_A167F1,NT_A1058E1,2,123,107,9167.389294881359100
1669,GH_A167F1,ST_A184G1,2,194,108,9657.900860813590000
1670,GH_A167F1,METCCTV00015,2,61,109,9729.332907207990500
1671,GH_A167F1,TT2South2,2,212,110,9752.082471245981700
1672,GH_A167F1,ST_A185A1,2,196,111,9785.463966639123100
1673,GH_A167F1,TT2South3,2,213,112,9879.750553097992500
1674,GH_A167F1,NT_A1056A1,2,122,113,9914.540358578233300
1675,GH_A167F1,TT2South1,2,211,114,9943.976080208156400
1676,GH_A167F1,ST_A194C2,2,201,115,9991.364251261644300
1677,GH_A167F1,GH_A695B1,2,30,116,10010.570682892489000
1678,GH_A167F1,METCCTV00016,2,62,117,10011.619438736390000
1679,GH_A167F1,ST_A194C1,2,200,118,10034.326773673933000
1680,GH_A167F1,TT2South4,2,214,119,10095.953989378393000
1681,GH_A167F1,ST_A185B1,2,197,120,10107.507710386650000
1682,GH_A167F1,NT_A191E1,2,134,121,10172.069605409652000
1683,GH_A167F1,ST_A1290D1,2,189,122,10198.919235208137000
1684,GH_A167F1,METCCTV00002,2,52,123,10223.233050538493000
1685,GH_A167F1,ST_A1290C1,2,188,124,10245.445746307001000
1686,GH_A167F1,TT2North2,2,208,125,10334.675956545187000
1687,GH_A167F1,TT2North3,2,209,126,10354.931895241114000
1688,GH_A167F1,NC_B6918A1,2,117,127,10396.491658503484000
1689,GH_A167F1,ST_A194B1,2,199,128,10447.640773016776000
1690,GH_A167F1,METCCTV00010,2,56,129,10471.832349885721000
1691,GH_A167F1,TT2North1,2,207,130,10659.815602358318000
1692,GH_A167F1,ST_B1298C1,2,205,131,10668.560701158698000
1693,GH_A167F1,TT2North4,2,210,132,10756.802701996046000
1694,GH_A167F1,SL_A1290B1,2,158,133,11256.989868038416000
1695,GH_A167F1,SL_A1290A1,2,157,134,11423.432463671974000
1696,GH_A167F1,NT_A1058E2,2,124,135,11639.974762238824000
1697,GH_A167F1,GH_A695A1,2,29,136,11672.210932973861000
1698,GH_A167F1,ST_A184H1,2,195,137,12302.556590558583000
1699,GH_A167F1,ST_A194A1,2,198,138,12324.259885043422000
1700,GH_A167F1,ST_A1300A1,2,190,139,12488.433919953779000
1701,GH_A167F1,NT_A1058F1,2,125,140,12929.519574386766000
1702,GH_A167F1,ST_B1298B1,2,204,141,12938.386282129932000
1703,GH_A167F1,ST_B1298A1,2,203,142,13351.464074495441000
1704,GH_A167F1,NT_A191G1,2,135,143,13689.250592364047000
1705,GH_A167F1,SL_A183L1,2,171,144,14131.059645186691000
1706,GH_A167F1,ST_A1300B1,2,191,145,14190.424641482325000
1707,GH_A167F1,ST_A1018B1,2,187,146,14341.039139066635000
1708,GH_A167F1,ST_B1344A1,2,206,147,14637.446506106377000
1709,GH_A167F1,ST_A1018A1,2,186,148,14693.600138991716000
1710,GH_A167F1,ST_A1300C1,2,192,149,14870.582423050399000
1711,GH_A167F1,METCCTV00007,2,54,150,14877.509890228223000
1712,GH_A167F1,ST_A183A1,2,193,151,14997.786528631650000
1713,GH_A167F1,SL_A1231E1,2,155,152,15103.214733110262000
1714,GH_A167F1,NT_A193E1,2,138,153,15498.362878183732000
1715,GH_A167F1,NT_A193D1,2,137,154,15560.619650299001000
1716,GH_A167F1,SL_A1018C1,2,151,155,15604.521694401050000
1717,GH_A167F1,SL_A1290E1,2,159,156,15766.575692139799000
1718,GH_A167F1,METCCTV00003,2,53,157,16065.759619546197000
1719,GH_A167F1,NT_A193C1,2,136,158,16265.126897635842000
1720,GH_A167F1,NB_A1068B1,2,73,159,16523.659641509261000
1721,GH_A167F1,SL_A1018D1,2,152,160,16603.462214929208000
1722,GH_A167F1,SL_A183A2,2,161,161,16876.236485518537000
1723,GH_A167F1,SL_A1018E1,2,153,162,17020.772518570120000
1724,GH_A167F1,SL_A183I1,2,170,163,17054.127455658956000
1725,GH_A167F1,SL_A183F1,2,167,164,17103.359815677009000
1726,GH_A167F1,NB_A1061A1,2,70,165,17118.945062497962000
1727,GH_A167F1,SL_A183A3,2,162,166,17157.750860095621000
1728,GH_A167F1,SL_A183E1,2,166,167,17262.222550362178000
1729,GH_A167F1,SL_A183D1,2,165,168,17390.673784418530000
1730,GH_A167F1,SL_A183B1,2,163,169,17392.868944070215000
1731,GH_A167F1,SL_A183C1,2,164,170,17489.215928358135000
1732,GH_A167F1,SL_A690A1,2,172,171,17542.431759471809000
1733,GH_A167F1,SL_A690F1,2,176,172,17566.839751741394000
1734,GH_A167F1,NB_A189A2,2,76,173,17585.276695557248000
1735,GH_A167F1,SL_HLRB1,2,185,174,17590.314245572106000
