Sensor Name,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude
PER_PEOPLE-FTP_NC_A1058B1,POINT (-1.583775 54.9910996),45.5999984741211,2.0,people-ftp,False,-1.583775,54.9910996
PER_PEOPLE-FTP_SL_A182B1,POINT (-1.452243 54.8211417),89.6699981689453,2.0,people-ftp,False,-1.452243,54.8211417
PER_PEOPLE-FTP_NT_A1058E1,POINT (-1.504705 55.0078488),56.3800010681152,2.0,people-ftp,False,-1.504705,55.0078488
PER_PEOPLE-FTP_SL_A1290B1,POINT (-1.474355 54.9229293),35.0099983215332,2.0,people-ftp,False,-1.474355,54.9229293
PER_PEOPLE-FTP_MC4092,POINT (-1.662451 54.9573883),6.21000003814697,2.0,people-ftp,False,-1.662451,54.9573883
PER_PEOPLE-FTP_NC_B6324B1,POINT (-1.670024 54.9900184),86.7600021362305,2.0,people-ftp,False,-1.670024,54.9900184
PER_PEOPLE-FTP_NC_GNSA1,POINT (-1.61492 54.9714615),42.0400009155273,2.0,people-ftp,False,-1.61492,54.9714615
PER_PEOPLE-FTP_NT_A1056A1,POINT (-1.580157 55.0393939),62.0,2.0,people-ftp,False,-1.580157,55.0393939
PER_PEOPLE-FTP_NB_A189A1,POINT (-1.532459 55.1705991),23.2099990844727,2.0,people-ftp,False,-1.532459,55.1705991
PER_PEOPLE-FTP_VAISALACCTV13,POINT (-2.248822 54.7702959),0.0,2.0,People ftp,False,-2.248822,54.7702959
PER_PEOPLE-FTP_GH_B1426D1,POINT (-1.595372 54.9585033),47.6300010681152,2.0,people-ftp,False,-1.595372,54.9585033
PER_PEOPLE-FTP_TT2NORTH3,POINT (-1.482917 54.9790526),16.5200004577637,2.0,People ftp,False,-1.482917,54.9790526
PER_PEOPLE-FTP_NC_FMRA1,POINT (-1.597133 55.002558),65.6100006103516,2.0,people-ftp,False,-1.597133,55.002558
PER_PEOPLE-FTP_NB_A1061A1,POINT (-1.559883 55.100497),46.3499984741211,2.0,people-ftp,False,-1.559883,55.100497
PER_PEOPLE-FTP_NT_A193C1,POINT (-1.451634 55.0525643),10.8000001907349,2.0,people-ftp,False,-1.451634,55.0525643
PER_PEOPLE-FTP_GH_A184D1,POINT (-1.589043 54.961943),34.0900001525879,2.0,people-ftp,False,-1.589043,54.961943
PER_PEOPLE-FTP_GH_A184A1,POINT (-1.605621 54.9646624),36.0200004577637,2.0,people-ftp,False,-1.605621,54.9646624
PER_PEOPLE-FTP_ST_A1018B1,POINT (-1.427394 54.991182),19.5499992370605,2.0,People ftp,False,-1.427394,54.991182
PER_PEOPLE-FTP_SL_BRRA1,POINT (-1.385685 54.9042729),33.4599990844727,2.0,People ftp,False,-1.385685,54.9042729
PER_PEOPLE-FTP_NT_A189B1,POINT (-1.598624 55.0175662),49.3800010681152,2.0,people-ftp,False,-1.598624,55.0175662
